"","Country","DirectCost","IndirectCost","TotalCost","FinancialContributions","DirectCost2","IndirectCost2","Total","year"
"108","Netherlands",6.89768340764628e-05,0.000215241392671656,0.000284218226748119,0.000148660260592741,9,0.000432888148195849,0.000650963375251601,2011
"109","New Zealand",0.000168938789863954,0.000576613964534709,0.000745552754398663,0.000129363002156387,3,0.000380240218065982,0.000529840608184236,2011
"110","Norway",0.000255849043262537,0.000519131229180658,0.000774980272443195,0.000104801665035932,16,0.00050064766615376,0.000794766142964338,2011
"111","Portugal",0.000215925594763087,0.000188638249433731,0.000404563844196818,0.000108015325308026,12,0.000174018643234057,0.000426362832755141,2011
"112","South Korea",2.72866483065834e-05,2.36135845655142e-05,5.09002328720975e-05,4.14227307390039e-05,14,1.14629051288904e-07,1.43993208298614e-07,2011
"113","Spain",4.42743651283899e-05,0.00010056253567026,0.00014483690079865,0.000101620874698112,2,0.0001146735099754,0.000248608112298182,2011
"114","Sweden",0.00011723741388087,0.00016780287038652,0.00028504028426739,0.00014978978588899,7,0.000332480684853524,0.000535731395231664,2011
"115","Switzerland",1.32719857990168e-05,5.30099407212913e-05,6.62819265203081e-05,0.000110608999474347,21,0.000447578661024815,0.00052327419448471,2011
"116","United Kingdom",5.95596917281898e-05,0.000277713480295343,0.000337273172023533,0.000179822077338292,8,0.000753192851139268,0.000958048457640543,2011
"117","United States",6.52633292970271e-06,2.66183332897049e-05,3.31446662194076e-05,0.000117068872158092,22,0.000617761902583025,0.000701103364836397,2011
"118","EU",5.92491143860425e-05,0.00011899852850744,0.000178247642893483,0.00012820542225599,17,0.000334316779751781,0.000634440593057542,2011
"119","Europe",6.18931462759836e-05,0.000125105951039257,0.000186999097315241,0.000127283450887943,15,0.000340558756691121,0.000634657637523357,2011
"120","Australia",6.34956174060291e-05,18,0.000347754503916182,0.000125069215447792,28,0.0009135605482309,0.00100539323368281,2012
"121","Austria",0.000242881763902752,1,0.000372937541838405,0.000160417328375427,19,0.00025869394464966,0.00050441530189883,2012
"122","Belgium",0.000107558393557244,28,0.000201144746924427,0.000160057731983395,9,0.000212097710303213,0.000402723227858361,2012
"123","Canada",6.24265937483415e-05,8,0.000242938552563648,0.000149481881114715,29,0.000311693151562074,0.000408415202137635,2012
"124","Czech Republic",5.39174133747e-05,27,0.000140084216761208,4.35607719928987e-05,13,0.000181892918483973,0.000385710142118582,2012
"125","Denmark",0.000151030530561037,16,0.000418192399540526,0.000172546450145831,23,0.000511758452245236,0.000862418364965585,2012
"126","Finland",0.000275580635561606,10,0.000467788387861889,0.000166293951790947,24,0.000286835923705154,0.000661316026370547,2012
